"행정구역","2025년05월_남자인구수","2025년05월_여자인구수","2025년05월_계"
"전국  (1000000000)","10,632","10,073","20,705"
"서울특별시  (1100000000)","1,954","1,749","3,703"
"부산광역시  (2600000000)","614","557","1,171"
"대구광역시  (2700000000)","461","431","892"
"인천광역시  (2800000000)","692","628","1,320"
"광주광역시  (2900000000)","272","236","508"
"대전광역시  (3000000000)","283","314","597"
"울산광역시  (3100000000)","229","218","447"
"세종특별자치시  (3600000000)","121","112","233"
"경기도  (4100000000)","3,212","3,103","6,315"
"강원특별자치도  (5100000000)","256","267","523"
"충청북도  (4300000000)","341","325","666"
"충청남도  (4400000000)","401","385","786"
"전북특별자치도  (5200000000)","308","295","603"
"전라남도  (4600000000)","338","340","678"
"경상북도  (4700000000)","415","430","845"
"경상남도  (4800000000)","605","553","1,158"
"제주특별자치도  (5000000000)","130","130","260"
