"행정구역","2025년05월_계_총세대수","2025년05월_계_연령구간세대수","2025년05월_계_0~9세","2025년05월_계_10~19세","2025년05월_계_20~29세","2025년05월_계_30~39세","2025년05월_계_40~49세","2025년05월_계_50~59세","2025년05월_계_60~69세","2025년05월_계_70~79세","2025년05월_계_80~89세","2025년05월_계_90~99세","2025년05월_계_100세 이상","2025년05월_남_총세대수","2025년05월_남_연령구간세대수","2025년05월_남_0~9세","2025년05월_남_10~19세","2025년05월_남_20~29세","2025년05월_남_30~39세","2025년05월_남_40~49세","2025년05월_남_50~59세","2025년05월_남_60~69세","2025년05월_남_70~79세","2025년05월_남_80~89세","2025년05월_남_90~99세","2025년05월_남_100세 이상","2025년05월_여_총세대수","2025년05월_여_연령구간세대수","2025년05월_여_0~9세","2025년05월_여_10~19세","2025년05월_여_20~29세","2025년05월_여_30~39세","2025년05월_여_40~49세","2025년05월_여_50~59세","2025년05월_여_60~69세","2025년05월_여_70~79세","2025년05월_여_80~89세","2025년05월_여_90~99세","2025년05월_여_100세 이상"
"전국  (1000000000)","10,221,499","10,221,499","2,614","53,713","1,477,745","1,725,727","1,263,899","1,643,301","1,911,411","1,214,985","777,523","147,050","3,531","5,243,589","5,243,589","1,327","24,501","748,575","1,080,189","814,785","994,090","961,002","433,649","161,459","23,438","574","4,977,910","4,977,910","1,287","29,212","729,170","645,538","449,114","649,211","950,409","781,336","616,064","123,612","2,957"
"서울특별시  (1100000000)","2,027,536","2,027,536","470","12,543","439,033","473,247","249,494","249,899","280,187","195,167","109,232","17,760","504","964,520","964,520","254","4,925","185,368","258,226","140,338","145,373","134,653","66,347","25,463","3,445","128","1,063,016","1,063,016","216","7,618","253,665","215,021","109,156","104,526","145,534","128,820","83,769","14,315","376"
"부산광역시  (2600000000)","667,594","667,594","98","3,517","96,338","94,418","72,831","98,917","134,913","101,605","56,722","8,097","138","312,348","312,348","48","1,308","45,032","55,740","44,831","56,970","61,834","33,392","11,814","1,356","23","355,246","355,246","50","2,209","51,306","38,678","28,000","41,947","73,079","68,213","44,908","6,741","115"
"대구광역시  (2700000000)","447,617","447,617","141","1,979","57,039","64,251","50,065","74,102","93,042","61,954","38,438","6,496","110","212,411","212,411","70","734","27,472","40,994","31,672","42,008","41,612","19,434","7,378","1,019","18","235,206","235,206","71","1,245","29,567","23,257","18,393","32,094","51,430","42,520","31,060","5,477","92"
"인천광역시  (2800000000)","542,671","542,671","195","2,243","69,370","94,842","74,314","91,920","106,913","60,729","35,053","6,889","203","286,725","286,725","91","1,016","36,012","60,483","49,112","56,135","52,885","22,109","7,764","1,088","30","255,946","255,946","104","1,227","33,358","34,359","25,202","35,785","54,028","38,620","27,289","5,801","173"
"광주광역시  (2900000000)","276,872","276,872","62","1,081","42,066","46,920","36,855","46,283","49,493","31,375","19,358","3,311","68","138,896","138,896","31","400","20,583","29,361","24,225","26,934","22,532","10,322","3,952","546","10","137,976","137,976","31","681","21,483","17,559","12,630","19,349","26,961","21,053","15,406","2,765","58"
"대전광역시  (3000000000)","304,154","304,154","76","2,798","65,989","54,873","34,909","44,214","49,753","30,319","17,829","3,320","74","156,004","156,004","45","1,057","33,568","34,921","22,139","25,738","23,421","10,496","3,993","613","13","148,150","148,150","31","1,741","32,421","19,952","12,770","18,476","26,332","19,823","13,836","2,707","61"
"울산광역시  (3100000000)","186,730","186,730","46","389","22,892","29,376","25,765","34,444","38,807","22,589","10,812","1,575","35","106,146","106,146","23","194","14,936","21,349","18,431","21,420","18,988","8,187","2,372","244","2","80,584","80,584","23","195","7,956","8,027","7,334","13,024","19,819","14,402","8,440","1,331","33"
"세종특별자치시  (3600000000)","57,083","57,083","20","248","9,958","14,604","8,661","8,189","7,908","4,387","2,538","555","15","29,906","29,906","12","94","4,807","8,921","5,256","4,623","3,885","1,654","557","96","1","27,177","27,177","8","154","5,151","5,683","3,405","3,566","4,023","2,733","1,981","459","14"
"경기도  (4100000000)","2,294,941","2,294,941","710","7,971","309,413","444,011","323,990","387,789","415,702","239,032","139,649","25,957","717","1,254,017","1,254,017","350","3,670","170,332","292,327","214,268","238,449","210,448","87,235","32,132","4,662","144","1,040,924","1,040,924","360","4,301","139,081","151,684","109,722","149,340","205,254","151,797","107,517","21,295","573"
"강원특별자치도  (5100000000)","352,014","352,014","68","2,011","42,344","39,577","35,683","61,256","80,696","48,991","34,751","6,453","184","181,873","181,873","30","1,049","24,953","26,066","22,935","37,031","42,787","18,549","7,448","985","40","170,141","170,141","38","962","17,391","13,511","12,748","24,225","37,909","30,442","27,303","5,468","144"
"충청북도  (4300000000)","360,177","360,177","85","2,571","49,118","52,683","41,385","61,937","73,468","42,194","30,489","6,125","122","194,055","194,055","38","1,282","27,961","36,737","27,982","37,694","38,797","16,029","6,504","1,010","21","166,122","166,122","47","1,289","21,157","15,946","13,403","24,243","34,671","26,165","23,985","5,115","101"
"충청남도  (4400000000)","480,263","480,263","135","3,284","62,709","69,600","58,562","81,525","94,737","57,050","42,627","9,809","225","264,961","264,961","71","1,447","35,825","49,410","41,731","51,866","51,807","22,249","8,875","1,646","34","215,302","215,302","64","1,837","26,884","20,190","16,831","29,659","42,930","34,801","33,752","8,163","191"
"전북특별자치도  (5200000000)","398,246","398,246","93","1,656","40,361","44,476","42,285","70,073","85,364","59,123","44,767","9,838","210","199,387","199,387","47","815","21,718","28,494","28,577","43,354","44,967","21,699","8,266","1,429","21","198,859","198,859","46","841","18,643","15,982","13,708","26,719","40,397","37,424","36,501","8,409","189"
"전라남도  (4600000000)","435,137","435,137","82","1,197","33,965","41,866","46,094","79,509","96,160","66,447","57,276","12,243","298","222,460","222,460","47","643","19,812","28,058","32,529","51,664","53,943","24,726","9,514","1,492","32","212,677","212,677","35","554","14,153","13,808","13,565","27,845","42,217","41,721","47,762","10,751","266"
"경상북도  (4700000000)","607,624","607,624","137","6,413","64,570","67,103","64,942","104,820","132,335","86,976","66,184","13,864","280","314,728","314,728","75","3,732","38,889","46,637","44,520","64,267","70,318","32,114","12,245","1,903","28","292,896","292,896","62","2,681","25,681","20,466","20,422","40,553","62,017","54,862","53,939","11,961","252"
"경상남도  (4800000000)","645,994","645,994","159","3,528","59,593","75,717","77,517","118,533","143,965","92,319","62,266","12,160","237","334,133","334,133","77","2,000","34,889","51,634","53,540","72,537","73,294","33,480","11,099","1,562","21","311,861","311,861","82","1,528","24,704","24,083","23,977","45,996","70,671","58,839","51,167","10,598","216"
"제주특별자치도  (5000000000)","136,846","136,846","37","284","12,987","18,163","20,547","29,891","27,968","14,728","9,532","2,598","111","71,019","71,019","18","135","6,418","10,831","12,699","18,027","14,831","5,627","2,083","342","8","65,827","65,827","19","149","6,569","7,332","7,848","11,864","13,137","9,101","7,449","2,256","103"
